split,system,query_id,known_labels,known_e_or_s,reciprocal_rank,recall_at_10,hit_rate_at_10,precision_at_10,judged_at_10,recall_at_40,hit_rate_at_40,precision_at_40,judged_at_40,latency_ms
validation,hybrid,101970,16,16,0.25,0.4375,1.0,0.7,0.7,0.5625,1.0,0.225,0.225,809.13
validation,bm25,10200,16,12,0.2,0.16666666666666666,1.0,0.2,0.2,0.5833333333333334,1.0,0.175,0.175,19.774
validation,dense,10200,16,12,1.0,0.16666666666666666,1.0,0.2,0.2,0.25,1.0,0.075,0.075,96.525
validation,hybrid,10200,16,12,1.0,0.3333333333333333,1.0,0.4,0.4,0.5833333333333334,1.0,0.175,0.175,400.35
validation,bm25,102025,16,16,1.0,0.5,1.0,0.8,0.8,0.5625,1.0,0.225,0.225,47.279
validation,dense,102025,16,16,1.0,0.3125,1.0,0.5,0.5,0.5,1.0,0.2,0.2,85.788
validation,hybrid,102025,16,16,1.0,0.375,1.0,0.6,0.6,0.6875,1.0,0.275,0.275,480.768
validation,bm25,102031,21,18,1.0,0.1111111111111111,1.0,0.2,0.2,0.7777777777777778,1.0,0.35,0.35,25.209
validation,dense,102031,21,18,1.0,0.5,1.0,0.9,0.9,0.7777777777777778,1.0,0.35,0.35,36.392
validation,hybrid,102031,21,18,1.0,0.5555555555555556,1.0,1.0,1.0,0.7777777777777778,1.0,0.35,0.35,577.452
validation,bm25,102038,16,6,0.2,0.3333333333333333,1.0,0.2,0.3,0.5,1.0,0.075,0.125,24.052
validation,dense,102038,16,6,0.043478260869565216,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.025,0.025,40.667
validation,hybrid,102038,16,6,0.3333333333333333,0.5,1.0,0.3,0.3,0.5,1.0,0.075,0.125,251.885
validation,bm25,102048,16,14,0.3333333333333333,0.21428571428571427,1.0,0.3,0.5,0.21428571428571427,1.0,0.075,0.125,39.926
validation,dense,102048,16,14,1.0,0.21428571428571427,1.0,0.3,0.5,0.35714285714285715,1.0,0.125,0.175,36.068
validation,hybrid,102048,16,14,1.0,0.21428571428571427,1.0,0.3,0.5,0.35714285714285715,1.0,0.125,0.175,726.991
validation,bm25,102065,30,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.695
validation,dense,102065,30,12,1.0,0.16666666666666666,1.0,0.2,0.3,0.25,1.0,0.075,0.1,68.346
validation,hybrid,102065,30,12,0.25,0.08333333333333333,1.0,0.1,0.1,0.25,1.0,0.075,0.1,250.173
validation,bm25,10213,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.972
validation,dense,10213,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.539
validation,hybrid,10213,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.252
validation,bm25,102138,16,6,1.0,0.16666666666666666,1.0,0.1,0.2,0.16666666666666666,1.0,0.025,0.05,24.076
validation,dense,102138,16,6,1.0,0.5,1.0,0.3,0.4,0.6666666666666666,1.0,0.1,0.125,32.032
validation,hybrid,102138,16,6,1.0,0.5,1.0,0.3,0.4,0.6666666666666666,1.0,0.1,0.125,490.69
validation,bm25,102144,16,8,1.0,0.125,1.0,0.1,0.1,0.125,1.0,0.025,0.025,48.579
validation,dense,102144,16,8,1.0,0.125,1.0,0.1,0.1,0.125,1.0,0.025,0.025,35.174
validation,hybrid,102144,16,8,1.0,0.125,1.0,0.1,0.1,0.125,1.0,0.025,0.025,484.897
validation,bm25,10216,40,37,0.125,0.02702702702702703,1.0,0.1,0.1,0.02702702702702703,1.0,0.025,0.025,26.936
validation,dense,10216,40,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.517
validation,hybrid,10216,40,37,0.2,0.02702702702702703,1.0,0.1,0.1,0.02702702702702703,1.0,0.025,0.025,527.369
validation,bm25,102163,13,13,1.0,0.46153846153846156,1.0,0.6,0.6,0.5384615384615384,1.0,0.175,0.175,34.408
validation,dense,102163,13,13,0.14285714285714285,0.15384615384615385,1.0,0.2,0.2,0.15384615384615385,1.0,0.05,0.05,50.8
validation,hybrid,102163,13,13,0.5,0.23076923076923078,1.0,0.3,0.3,0.46153846153846156,1.0,0.15,0.15,347.376
validation,bm25,102181,16,16,1.0,0.4375,1.0,0.7,0.7,0.6875,1.0,0.275,0.275,25.423
validation,dense,102181,16,16,1.0,0.375,1.0,0.6,0.6,0.625,1.0,0.25,0.25,34.385
validation,hybrid,102181,16,16,1.0,0.5,1.0,0.8,0.8,0.8125,1.0,0.325,0.325,320.87
validation,bm25,102254,16,4,1.0,0.5,1.0,0.2,0.3,0.75,1.0,0.075,0.125,37.223
validation,dense,102254,16,4,0.08333333333333333,0.0,0.0,0.0,0.2,0.25,1.0,0.025,0.075,33.244
validation,hybrid,102254,16,4,0.5,0.25,1.0,0.1,0.3,0.75,1.0,0.075,0.125,367.251
validation,bm25,102312,16,9,0.034482758620689655,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.05,0.075,27.433
validation,dense,102312,16,9,1.0,0.3333333333333333,1.0,0.3,0.6,0.3333333333333333,1.0,0.075,0.175,31.333
validation,hybrid,102312,16,9,1.0,0.3333333333333333,1.0,0.3,0.5,0.4444444444444444,1.0,0.1,0.175,592.186
validation,bm25,102321,16,16,1.0,0.125,1.0,0.2,0.2,0.125,1.0,0.05,0.05,25.391
validation,dense,102321,16,16,1.0,0.3125,1.0,0.5,0.5,0.375,1.0,0.15,0.15,33.688
validation,hybrid,102321,16,16,1.0,0.1875,1.0,0.3,0.3,0.375,1.0,0.15,0.15,359.739
validation,bm25,102542,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.319
validation,dense,102542,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.932
validation,hybrid,102542,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.977
validation,bm25,102544,14,14,1.0,0.35714285714285715,1.0,0.5,0.5,0.6428571428571429,1.0,0.225,0.225,4.458
validation,dense,102544,14,14,1.0,0.2857142857142857,1.0,0.4,0.4,0.42857142857142855,1.0,0.15,0.15,39.241
validation,hybrid,102544,14,14,1.0,0.42857142857142855,1.0,0.6,0.6,0.6428571428571429,1.0,0.225,0.225,264.197
validation,bm25,102553,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.32
validation,dense,102553,16,16,0.1,0.0625,1.0,0.1,0.1,0.25,1.0,0.1,0.1,37.071
validation,hybrid,102553,16,16,0.058823529411764705,0.0,0.0,0.0,0.0,0.0625,1.0,0.025,0.025,345.18
validation,bm25,102760,16,16,1.0,0.4375,1.0,0.7,0.7,0.8125,1.0,0.325,0.325,17.736
