split,system,query_id,latency_ms
validation,hybrid,106509,161.374
validation,bm25,106563,20.882
validation,dense,106563,38.817
validation,hybrid,106563,294.757
validation,bm25,106728,19.538
validation,dense,106728,30.732
validation,hybrid,106728,347.880
validation,bm25,10681,5.231
validation,dense,10681,33.396
validation,hybrid,10681,166.927
validation,bm25,10687,13.627
validation,dense,10687,31.439
validation,hybrid,10687,336.876
validation,bm25,106877,5.040
validation,dense,106877,32.455
validation,hybrid,106877,170.236
validation,bm25,106898,16.120
validation,dense,106898,32.690
validation,hybrid,106898,292.337
validation,bm25,106904,28.589
validation,dense,106904,34.897
validation,hybrid,106904,449.460
validation,bm25,106928,6.764
validation,dense,106928,35.837
validation,hybrid,106928,420.068
validation,bm25,106930,21.799
validation,dense,106930,30.456
validation,hybrid,106930,373.029
validation,bm25,107027,4.791
validation,dense,107027,44.369
validation,hybrid,107027,143.029
validation,bm25,107035,27.636
validation,dense,107035,69.725
validation,hybrid,107035,393.114
validation,bm25,107058,14.570
validation,dense,107058,59.018
validation,hybrid,107058,269.845
validation,bm25,10710,5.791
validation,dense,10710,32.285
validation,hybrid,10710,320.410
validation,bm25,107166,11.048
validation,dense,107166,30.187
validation,hybrid,107166,413.228
validation,bm25,107191,57.350
validation,dense,107191,39.785
validation,hybrid,107191,229.663
validation,bm25,107206,28.586
validation,dense,107206,32.781
validation,hybrid,107206,198.034
validation,bm25,107209,11.933
validation,dense,107209,39.477
validation,hybrid,107209,226.774
validation,bm25,107244,16.785
validation,dense,107244,36.814
validation,hybrid,107244,251.611
validation,bm25,107284,7.644
validation,dense,107284,52.626
validation,hybrid,107284,310.201
validation,bm25,107363,20.263
validation,dense,107363,31.050
validation,hybrid,107363,387.704
validation,bm25,107427,18.630
validation,dense,107427,39.993
validation,hybrid,107427,133.210
validation,bm25,107488,30.430
validation,dense,107488,31.231
validation,hybrid,107488,548.627
validation,bm25,107496,10.821
validation,dense,107496,32.889
validation,hybrid,107496,190.289
validation,bm25,107561,24.182
validation,dense,107561,30.758
validation,hybrid,107561,424.040
validation,bm25,107563,10.887
validation,dense,107563,35.390
validation,hybrid,107563,269.071
validation,bm25,107690,12.478
validation,dense,107690,30.475
validation,hybrid,107690,280.861
validation,bm25,107727,18.688
validation,dense,107727,30.391
validation,hybrid,107727,376.099
validation,bm25,107755,4.852
validation,dense,107755,30.503
validation,hybrid,107755,169.564
validation,bm25,107835,6.656
validation,dense,107835,33.319
validation,hybrid,107835,320.472
validation,bm25,10784,6.721
validation,dense,10784,31.780
validation,hybrid,10784,181.014
validation,bm25,107849,11.363
validation,dense,107849,30.214
validation,hybrid,107849,143.432
validation,bm25,10786,6.255
validation,dense,10786,31.033
validation,hybrid,10786,277.322
validation,bm25,107867,14.592
validation,dense,107867,30.770
validation,hybrid,107867,182.574
validation,bm25,107897,13.696
validation,dense,107897,35.631
validation,hybrid,107897,276.809
validation,bm25,10800,6.449
validation,dense,10800,33.305
validation,hybrid,10800,442.206
validation,bm25,108065,5.774
validation,dense,108065,29.921
validation,hybrid,108065,314.509
validation,bm25,108165,13.496
validation,dense,108165,45.807
validation,hybrid,108165,503.657
validation,bm25,108246,5.156
validation,dense,108246,30.096
validation,hybrid,108246,183.858
validation,bm25,108250,10.616
validation,dense,108250,31.629
validation,hybrid,108250,312.947
validation,bm25,108252,22.761
validation,dense,108252,32.056
validation,hybrid,108252,221.252
validation,bm25,1083,22.370
validation,dense,1083,31.074
validation,hybrid,1083,527.311
validation,bm25,108300,6.799
validation,dense,108300,31.388
validation,hybrid,108300,457.830
validation,bm25,108302,13.228
validation,dense,108302,33.231
validation,hybrid,108302,127.847
validation,bm25,108453,32.101
validation,dense,108453,29.964
validation,hybrid,108453,616.294
validation,bm25,108479,23.466
validation,dense,108479,30.934
validation,hybrid,108479,555.606
validation,bm25,108567,7.480
validation,dense,108567,34.916
validation,hybrid,108567,274.444
validation,bm25,108724,13.692
validation,dense,108724,37.922
validation,hybrid,108724,321.151
validation,bm25,108750,18.412
validation,dense,108750,30.785
validation,hybrid,108750,426.342
validation,bm25,108754,15.864
validation,dense,108754,37.975
validation,hybrid,108754,386.291
validation,bm25,108756,7.898
validation,dense,108756,29.645
validation,hybrid,108756,404.039
validation,bm25,108767,9.097
validation,dense,108767,34.299
validation,hybrid,108767,317.949
validation,bm25,108920,21.130
validation,dense,108920,31.638
validation,hybrid,108920,307.031
validation,bm25,108988,4.749
validation,dense,108988,30.797
validation,hybrid,108988,133.631
validation,bm25,109011,17.902
validation,dense,109011,30.746
validation,hybrid,109011,386.082
validation,bm25,109037,21.214
validation,dense,109037,33.403
validation,hybrid,109037,250.909
validation,bm25,109053,8.297
validation,dense,109053,33.835
validation,hybrid,109053,164.707
validation,bm25,109135,6.297
validation,dense,109135,30.460
validation,hybrid,109135,276.781
validation,bm25,109315,17.011
validation,dense,109315,33.188
validation,hybrid,109315,280.161
validation,bm25,109331,22.443
validation,dense,109331,30.142
validation,hybrid,109331,397.305
validation,bm25,109335,5.517
validation,dense,109335,33.239
validation,hybrid,109335,296.153
validation,bm25,109344,22.559
validation,dense,109344,35.096
validation,hybrid,109344,237.560
validation,bm25,109399,5.433
validation,dense,109399,36.821
validation,hybrid,109399,135.291
validation,bm25,109458,9.806
validation,dense,109458,36.832
validation,hybrid,109458,220.270
validation,bm25,109537,20.215
validation,dense,109537,173.562
validation,hybrid,109537,325.088
validation,bm25,109561,9.594
validation,dense,109561,30.511
validation,hybrid,109561,345.341
validation,bm25,109640,5.206
validation,dense,109640,44.426
validation,hybrid,109640,136.618
validation,bm25,109647,6.450
validation,dense,109647,35.715
validation,hybrid,109647,171.063
validation,bm25,109679,8.308
validation,dense,109679,32.726
validation,hybrid,109679,223.447
validation,bm25,109717,49.454
validation,dense,109717,37.679
validation,hybrid,109717,337.609
validation,bm25,109752,5.094
validation,dense,109752,30.803
validation,hybrid,109752,201.510
validation,bm25,1098,27.114
validation,dense,1098,30.553
validation,hybrid,1098,510.488
validation,bm25,109809,24.097
